x1;x2;x3;x4;x5;x6;x7;x8;x9;x10;f(x);y
0.748297843;0.959001997;0.388702656;0.572625871;0.402970844;0.4729107;0.716223961;0.782267513;0.714657095;0.506414373;8.708842935;7.640703963
0.761314472;0.561802288;0.62220447;0.263241749;0.170771008;0.029490765;0.158042889;0.480928916;0.895537637;0.511624554;7.764912814;8.590988423
0.39483436;0.980502333;0.348139144;0.499922251;0.702517602;0.611870898;0.923324428;0.781966057;0.896313737;0.849178366;7.231685365;6.553744748
0.729363368;0.195646806;0.507031442;0.569873789;0.724551093;0.054520734;0.627967166;0.538273919;0.70506389;0.242746834;5.243873834;4.025762874
0.393861439;0.273056189;0.05822362;0.907993713;0.705772471;0.711453514;0.112346595;0.4164361;0.997053466;0.680326346;3.222010046;4.056060813
0.882626535;0.913791495;0.051928839;0.090659324;0.940081743;0.225202198;0.796279211;0.810274004;0.357009643;0.909478183;8.690293129;10.35113174
0.272866161;0.333292637;0.48901946;0.407650334;0.693907125;0.544537649;0.182471288;0.329359426;0.288210998;0.137851988;3.411802069;4.863376654
0.047152265;0.386420966;0.945124146;0.989100483;0.733829035;0.527034035;0.662112984;0.512151059;0.468222771;0.450513216;6.042175898;5.008055845
0.11562295;0.744816397;0.247810133;0.833348438;0.850356659;0.293539955;0.063971114;0.859071515;0.159753157;0.474137911;7.389612419;8.408859651
0.927028096;0.564520029;0.444849876;0.404261762;0.568022448;0.274128535;0.471633549;0.538668488;0.549652554;0.611266752;9.925631821;9.058248641
0.947427561;0.874271327;0.215005136;0.939054988;0.12848398;0.824084225;0.351064238;0.043558368;0.86271744;0.856908868;11.07372367;10.34562782
0.053604395;0.83283715;0.471637918;0.842934826;0.912517931;0.816794529;0.849417806;0.466772044;0.356296622;0.417891741;8.132080631;7.140648498
0.333669478;0.66815019;0.542305756;0.584583173;0.849761312;0.626208949;0.796391055;0.466040041;0.839005419;0.561084616;7.891834512;8.688174212
0.382130827;0.566770141;0.294881826;0.548600984;0.451210916;0.635645487;0.928452378;0.472423939;0.907272649;0.260935761;6.061126259;4.600621823
0.416228792;0.377359647;0.039565161;0.096731234;0.917780149;0.710009698;0.122645085;0.901094634;0.630884991;0.161707411;2.075394655;2.303250448
0.554493931;0.339617928;0.555119922;0.950260295;0.228127027;0.932358342;0.865717776;0.871240525;0.780409786;0.799901159;4.868395225;5.003571053
0.222665298;0.041195965;0.233714831;0.02679418;0.656255548;0.585106702;0.400377553;0.882142499;0.990690304;0.585608506;1.655076328;1.027610244
0.608618229;0.990310825;0.775336513;0.879789241;0.470358668;0.172345591;0.549484873;0.716472016;0.891291073;0.252389294;9.696706588;8.087973011
0.342522721;0.086085774;0.594541919;0.885124904;0.926666411;0.015429651;0.87577542;0.053314739;0.527301311;0.09918884;4.875128445;5.318311393
0.183456807;0.995746025;0.666484339;0.631558441;0.113468138;0.004056508;0.853557909;0.217952736;0.300525603;0.211424601;7.584144085;9.622297362
0.604132368;0.809394893;0.897909651;0.904199131;0.472419261;0.899717928;0.285751526;0.953979323;0.282630969;0.421803243;10.08703655;10.86500536
0.551699834;0.178221681;0.048819941;0.802085285;0.780133387;0.513733673;0.020000612;0.778476658;0.129819517;0.732309891;3.445826183;3.534879529
0.981887261;0.890824872;0.523241915;0.333700351;0.831614655;0.431129614;0.234240173;0.42814503;0.939774695;0.896931562;12.14536559;12.07034181
0.312839092;0.009301996;0.049065086;0.22516759;0.621884519;0.456168442;0.385867478;0.481144773;0.949159672;0.976315903;1.569141713;3.322599393
